IP	Protocol	Port	Service
179.189.84.149	tcp	179	bgp
179.189.84.149	tcp	2000	cisco-sccp
179.189.84.149	tcp	8081	tproxy
179.189.84.150	tcp	179	bgp
179.189.84.150	tcp	2000	cisco-sccp
179.189.84.150	tcp	8081	tproxy
179.189.84.150	tcp	8291	
179.189.84.151	tcp	179	bgp
179.189.84.151	tcp	2000	cisco-sccp
179.189.84.151	tcp	8081	tproxy
179.189.84.151	tcp	8291	
179.189.84.152	tcp	23	telnet
179.189.84.152	tcp	2442	
179.189.84.152	tcp	443	https
179.189.84.152	tcp	80	http
179.189.84.153	tcp	34567	
179.189.84.153	tcp	34599	
179.189.84.153	tcp	8000	
179.189.84.154	tcp	22	ssh
179.189.84.154	tcp	443	https
179.189.84.154	tcp	53	domain
179.189.84.154	tcp	554	rtsp
179.189.84.154	tcp	80	http
179.189.84.154	tcp	8000	
179.189.84.154	tcp	8001	
179.189.84.155	tcp	179	bgp
179.189.84.155	tcp	2000	cisco-sccp
179.189.84.155	tcp	8081	tproxy
179.189.84.155	tcp	8291	
179.189.84.156	tcp	179	bgp
179.189.84.156	tcp	2000	cisco-sccp
179.189.84.156	tcp	3389	
179.189.84.156	tcp	8081	tproxy
179.189.84.156	tcp	8291	
179.189.84.156	tcp	8600	
179.189.84.156	tcp	8601	
179.189.84.157	tcp	3389	
179.189.84.157	tcp	80	http
179.189.84.158	tcp	37777	
179.189.84.158	tcp	49152	
179.189.84.158	tcp	554	rtsp
179.189.84.158	tcp	59061	
179.189.84.158	tcp	80	http
179.189.84.158	tcp	8686	
179.189.84.159	tcp	2442	
179.189.84.159	tcp	80	http
179.189.84.16	tcp	2000	cisco-sccp
179.189.84.16	tcp	2210	
179.189.84.16	tcp	2211	
179.189.84.16	tcp	8081	tproxy
179.189.84.16	tcp	8291	
179.189.84.160	tcp	80	http
179.189.84.162	tcp	179	bgp
179.189.84.162	tcp	2000	cisco-sccp
179.189.84.162	tcp	8291	
179.189.84.163	tcp	80	http
179.189.84.165	tcp	179	bgp
179.189.84.165	tcp	2000	cisco-sccp
179.189.84.165	tcp	8081	tproxy
179.189.84.165	tcp	8291	
179.189.84.166	tcp	80	http
179.189.84.167	tcp	20000	
179.189.84.167	tcp	20001	
179.189.84.167	tcp	80	http
