IP	Protocol	Port	Service
179.189.84.99	tcp	42801	
179.189.84.99	tcp	554	rtsp
179.189.84.99	tcp	80	http
179.189.84.99	tcp	9000	
179.189.84.99	tcp	9001	
179.189.85.1	tcp	179	bgp
179.189.85.1	tcp	2000	cisco-sccp
179.189.85.1	tcp	4412	
179.189.85.1	tcp	4598	
179.189.85.1	tcp	801	
179.189.85.10	tcp	2000	cisco-sccp
179.189.85.10	tcp	8081	tproxy
179.189.85.10	tcp	8291	
179.189.85.101	tcp	2000	cisco-sccp
179.189.85.101	tcp	22	ssh
179.189.85.101	tcp	2210	
179.189.85.101	tcp	2211	
179.189.85.101	tcp	8081	tproxy
179.189.85.101	tcp	8291	
179.189.85.102	tcp	37777	
179.189.85.102	tcp	49152	
179.189.85.102	tcp	5000	
179.189.85.102	tcp	554	rtsp
179.189.85.102	tcp	8000	
179.189.85.102	tcp	8686	
179.189.85.105	tcp	2000	cisco-sccp
179.189.85.105	tcp	22	ssh
179.189.85.105	tcp	2210	
179.189.85.105	tcp	2211	
179.189.85.105	tcp	8081	tproxy
179.189.85.105	tcp	8291	
179.189.85.106	tcp	7841	
179.189.85.106	tcp	9080	
179.189.85.117	tcp	2000	cisco-sccp
179.189.85.117	tcp	8081	tproxy
179.189.85.117	tcp	8291	
179.189.85.12	tcp	10001	
179.189.85.12	tcp	22	ssh
179.189.85.12	tcp	443	https
179.189.85.12	tcp	80	http
179.189.85.121	tcp	2000	cisco-sccp
179.189.85.121	tcp	22	ssh
179.189.85.121	tcp	8081	tproxy
179.189.85.121	tcp	8291	
179.189.85.123	tcp	7000	afs3-fileserver
179.189.85.123	tcp	85	
179.189.85.124	tcp	443	https
179.189.85.124	tcp	80	http
179.189.85.125	tcp	22	ssh
179.189.85.125	tcp	443	https
179.189.85.125	tcp	554	rtsp
179.189.85.125	tcp	7000	afs3-fileserver
179.189.85.125	tcp	80	http
179.189.85.125	tcp	8000	
179.189.85.126	tcp	17307	
179.189.85.126	tcp	37777	
179.189.85.126	tcp	443	https
179.189.85.126	tcp	49152	
179.189.85.126	tcp	5000	
179.189.85.126	tcp	554	rtsp
179.189.85.126	tcp	7000	afs3-fileserver
179.189.85.126	tcp	8686	
179.189.85.137	tcp	2000	cisco-sccp
179.189.85.137	tcp	8081	tproxy
179.189.85.137	tcp	8291	
179.189.85.138	tcp	21	ftp
179.189.85.14	tcp	10001	
179.189.85.14	tcp	22	ssh
179.189.85.14	tcp	34599	
179.189.85.14	tcp	443	https
179.189.85.14	tcp	53	domain
179.189.85.14	tcp	7000	afs3-fileserver
179.189.85.14	tcp	80	http
179.189.85.141	tcp	2000	cisco-sccp
179.189.85.141	tcp	8081	tproxy
179.189.85.141	tcp	8291	
179.189.85.142	tcp	2000	cisco-sccp
179.189.85.142	tcp	22	ssh
179.189.85.142	tcp	8081	tproxy
179.189.85.142	tcp	8291	
179.189.85.146	tcp	10001	
179.189.85.146	tcp	443	https
179.189.85.146	tcp	80	http
179.189.85.15	tcp	22	ssh
179.189.85.15	tcp	443	https
179.189.85.15	tcp	80	http
179.189.85.157	tcp	179	bgp
179.189.85.157	tcp	8081	tproxy
179.189.85.157	tcp	8291	
179.189.85.158	tcp	179	bgp
179.189.85.158	tcp	2000	cisco-sccp
179.189.85.158	tcp	22	ssh
179.189.85.158	tcp	8081	tproxy
179.189.85.163	tcp	179	bgp
179.189.85.163	tcp	2000	cisco-sccp
179.189.85.163	tcp	8081	tproxy
179.189.85.165	tcp	2000	cisco-sccp
179.189.85.165	tcp	22	ssh
179.189.85.165	tcp	2210	
179.189.85.165	tcp	2211	
179.189.85.165	tcp	8081	tproxy
179.189.85.165	tcp	8291	
179.189.85.169	tcp	2000	cisco-sccp
179.189.85.169	tcp	80	http
179.189.85.169	tcp	8291	
179.189.85.17	tcp	179	bgp
179.189.85.17	tcp	2000	cisco-sccp
179.189.85.17	tcp	8081	tproxy
179.189.85.17	tcp	8291	
179.189.85.172	tcp	22	ssh
179.189.85.172	tcp	443	https
179.189.85.172	tcp	80	http
179.189.85.173	tcp	2000	cisco-sccp
179.189.85.173	tcp	8081	tproxy
179.189.85.173	tcp	8291	
179.189.85.174	tcp	2000	cisco-sccp
179.189.85.174	tcp	554	rtsp
179.189.85.174	tcp	8000	
179.189.85.174	tcp	8090	
179.189.85.174	tcp	8291	
179.189.85.177	tcp	2000	cisco-sccp
179.189.85.177	tcp	22	ssh
179.189.85.177	tcp	8291	
179.189.85.18	tcp	2000	cisco-sccp
179.189.85.18	tcp	21	ftp
179.189.85.18	tcp	22	ssh
179.189.85.18	tcp	8081	tproxy
179.189.85.18	tcp	8291	
179.189.85.193	tcp	2000	cisco-sccp
179.189.85.193	tcp	22	ssh
179.189.85.193	tcp	8081	tproxy
179.189.85.193	tcp	8291	
179.189.85.194	tcp	2000	cisco-sccp
179.189.85.194	tcp	22	ssh
179.189.85.194	tcp	8081	tproxy
179.189.85.194	tcp	8291	
179.189.85.196	tcp	2000	cisco-sccp
179.189.85.196	tcp	8081	tproxy
179.189.85.197	tcp	2000	cisco-sccp
179.189.85.197	tcp	21	ftp
179.189.85.197	tcp	22	ssh
179.189.85.197	tcp	80	http
179.189.85.197	tcp	8291	
179.189.85.197	tcp	8728	
179.189.85.197	tcp	8729	
179.189.85.2	tcp	179	bgp
179.189.85.2	tcp	2000	cisco-sccp
179.189.85.2	tcp	8081	tproxy
179.189.85.2	tcp	8291	
179.189.85.20	tcp	23	telnet
179.189.85.20	tcp	37777	
179.189.85.20	tcp	443	https
179.189.85.20	tcp	554	rtsp
179.189.85.20	tcp	7000	afs3-fileserver
179.189.85.20	tcp	80	http
179.189.85.201	tcp	2000	cisco-sccp
179.189.85.201	tcp	8081	tproxy
179.189.85.201	tcp	8291	
179.189.85.202	tcp	10150	
179.189.85.202	tcp	10151	
179.189.85.202	tcp	22	ssh
179.189.85.202	tcp	443	https
179.189.85.202	tcp	5432	postgresql
179.189.85.202	tcp	5433	
179.189.85.202	tcp	60109	
179.189.85.202	tcp	60180	
179.189.85.202	tcp	60209	
179.189.85.202	tcp	60280	
179.189.85.202	tcp	60309	
179.189.85.202	tcp	60380	
179.189.85.202	tcp	80	http
179.189.85.202	tcp	8080	http-alt
179.189.85.205	tcp	2000	cisco-sccp
179.189.85.205	tcp	8081	tproxy
179.189.85.205	tcp	8291	
179.189.85.206	tcp	2000	cisco-sccp
179.189.85.206	tcp	2210	
179.189.85.206	tcp	2211	
179.189.85.206	tcp	8081	tproxy
179.189.85.206	tcp	8291	
179.189.85.209	tcp	2000	cisco-sccp
179.189.85.209	tcp	8081	tproxy
179.189.85.209	tcp	8291	
179.189.85.21	tcp	22	ssh
179.189.85.21	tcp	443	https
179.189.85.21	tcp	80	http
179.189.85.212	tcp	11561	
179.189.85.212	tcp	1521	
179.189.85.212	tcp	2048	
179.189.85.212	tcp	2222	
179.189.85.212	tcp	3389	
179.189.85.212	tcp	443	https
179.189.85.212	tcp	4433	
179.189.85.212	tcp	4443	
179.189.85.212	tcp	4444	
179.189.85.212	tcp	541	
179.189.85.212	tcp	587	submission
179.189.85.212	tcp	6666	
179.189.85.212	tcp	7071	
179.189.85.212	tcp	80	http
179.189.85.212	tcp	8000	
179.189.85.212	tcp	8010	
179.189.85.212	tcp	8011	
179.189.85.212	tcp	8013	
179.189.85.212	tcp	8089	
179.189.85.212	tcp	8090	
179.189.85.212	tcp	8888	
179.189.85.212	tcp	993	imaps
179.189.85.213	tcp	25	smtp
179.189.85.213	tcp	4444	
179.189.85.213	tcp	465	submissions
179.189.85.213	tcp	587	submission
179.189.85.214	tcp	8013	
179.189.85.217	tcp	2000	cisco-sccp
179.189.85.217	tcp	8081	tproxy
179.189.85.217	tcp	8291	
179.189.85.218	tcp	53	domain
179.189.85.221	tcp	2000	cisco-sccp
179.189.85.221	tcp	8081	tproxy
179.189.85.221	tcp	8291	
179.189.85.225	tcp	2000	cisco-sccp
179.189.85.225	tcp	2210	
179.189.85.225	tcp	2211	
179.189.85.225	tcp	8081	tproxy
179.189.85.225	tcp	8291	
179.189.85.226	tcp	22	ssh
179.189.85.226	tcp	3306	mysql
179.189.85.226	tcp	8082	
179.189.85.229	tcp	179	bgp
179.189.85.229	tcp	2000	cisco-sccp
179.189.85.229	tcp	8081	tproxy
179.189.85.229	tcp	8291	
179.189.85.233	tcp	2000	cisco-sccp
179.189.85.233	tcp	21	ftp
179.189.85.233	tcp	22	ssh
179.189.85.233	tcp	8081	tproxy
179.189.85.233	tcp	8291	
179.189.85.234	tcp	19495	
179.189.85.234	tcp	37777	
179.189.85.234	tcp	49152	
179.189.85.234	tcp	554	rtsp
179.189.85.234	tcp	8090	
179.189.85.234	tcp	8686	
179.189.85.237	tcp	2000	cisco-sccp
179.189.85.237	tcp	8081	tproxy
179.189.85.237	tcp	8291	
179.189.85.241	tcp	2000	cisco-sccp
179.189.85.241	tcp	8081	tproxy
179.189.85.241	tcp	8291	
179.189.85.242	tcp	179	bgp
179.189.85.242	tcp	2000	cisco-sccp
179.189.85.242	tcp	8081	tproxy
179.189.85.242	tcp	8291	
179.189.85.245	tcp	2000	cisco-sccp
179.189.85.245	tcp	8081	tproxy
179.189.85.245	tcp	8291	
179.189.85.246	tcp	21	ftp
179.189.85.249	tcp	2000	cisco-sccp
179.189.85.249	tcp	8081	tproxy
179.189.85.249	tcp	8291	
179.189.85.25	tcp	179	bgp
179.189.85.25	tcp	2000	cisco-sccp
179.189.85.25	tcp	8081	tproxy
179.189.85.25	tcp	8291	
179.189.85.250	tcp	2210	
179.189.85.250	tcp	2211	
179.189.85.250	tcp	8291	
179.189.85.252	tcp	22	ssh
179.189.85.252	tcp	3000	
179.189.85.252	tcp	3306	mysql
179.189.85.252	tcp	443	https
179.189.85.252	tcp	53	domain
179.189.85.252	tcp	80	http
179.189.85.252	tcp	8081	tproxy
179.189.85.252	tcp	8082	
179.189.85.253	tcp	22	ssh
179.189.85.253	tcp	3000	
179.189.85.253	tcp	3306	mysql
179.189.85.253	tcp	443	https
179.189.85.253	tcp	53	domain
179.189.85.253	tcp	80	http
179.189.85.253	tcp	8081	tproxy
179.189.85.253	tcp	8082	
179.189.85.26	tcp	2000	cisco-sccp
179.189.85.26	tcp	8081	tproxy
179.189.85.26	tcp	8291	
179.189.85.29	tcp	2000	cisco-sccp
179.189.85.29	tcp	8081	tproxy
179.189.85.29	tcp	8291	
179.189.85.30	tcp	53	domain
179.189.85.33	tcp	14296	
179.189.85.33	tcp	1723	
179.189.85.33	tcp	2000	cisco-sccp
179.189.85.33	tcp	2442	
179.189.85.33	tcp	34567	
179.189.85.33	tcp	37773	
179.189.85.33	tcp	37779	
179.189.85.33	tcp	37780	
179.189.85.33	tcp	37785	
179.189.85.33	tcp	37786	
179.189.85.33	tcp	37787	
179.189.85.33	tcp	555	
179.189.85.33	tcp	556	remotefs
179.189.85.33	tcp	558	
179.189.85.33	tcp	8084	
179.189.85.33	tcp	8085	
179.189.85.33	tcp	8086	
179.189.85.33	tcp	8087	
179.189.85.33	tcp	8099	
179.189.85.33	tcp	8291	
179.189.85.33	tcp	8319	
179.189.85.33	tcp	9009	
179.189.85.33	tcp	9090	
179.189.85.34	tcp	8099	
179.189.85.34	tcp	8319	
179.189.85.35	tcp	2000	cisco-sccp
179.189.85.35	tcp	8081	tproxy
179.189.85.35	tcp	8291	
179.189.85.36	tcp	34567	
179.189.85.36	tcp	37773	
179.189.85.36	tcp	37779	
179.189.85.36	tcp	37780	
179.189.85.36	tcp	37785	
179.189.85.36	tcp	37786	
179.189.85.36	tcp	555	
179.189.85.36	tcp	556	remotefs
179.189.85.36	tcp	558	
179.189.85.36	tcp	559	
179.189.85.36	tcp	8084	
179.189.85.36	tcp	8085	
179.189.85.36	tcp	8086	
179.189.85.36	tcp	8099	
179.189.85.36	tcp	8319	
179.189.85.36	tcp	9009	
179.189.85.36	tcp	9090	
179.189.85.36	tcp	9091	
179.189.85.37	tcp	8099	
179.189.85.37	tcp	8319	
179.189.85.38	tcp	2000	cisco-sccp
179.189.85.38	tcp	8081	tproxy
179.189.85.38	tcp	8291	
179.189.85.41	tcp	1024	
179.189.85.41	tcp	1026	
179.189.85.41	tcp	1370	
179.189.85.41	tcp	1371	
179.189.85.41	tcp	1723	
179.189.85.41	tcp	2000	cisco-sccp
179.189.85.41	tcp	2048	
179.189.85.41	tcp	21	ftp
179.189.85.41	tcp	22	ssh
179.189.85.41	tcp	2442	
179.189.85.41	tcp	3002	
179.189.85.41	tcp	3003	
179.189.85.41	tcp	33800	
179.189.85.41	tcp	33801	
179.189.85.41	tcp	33803	
179.189.85.41	tcp	33804	
179.189.85.41	tcp	33805	
179.189.85.41	tcp	33806	
179.189.85.41	tcp	33807	
179.189.85.41	tcp	33809	
179.189.85.41	tcp	33810	
179.189.85.41	tcp	33811	
179.189.85.41	tcp	37705	
179.189.85.41	tcp	37777	
179.189.85.41	tcp	554	rtsp
179.189.85.41	tcp	7000	afs3-fileserver
179.189.85.41	tcp	7001	afs3-callback
179.189.85.41	tcp	7003	afs3-vlserver
179.189.85.41	tcp	7004	afs3-kaserver
179.189.85.41	tcp	7005	afs3-volser
179.189.85.41	tcp	80	http
179.189.85.41	tcp	8000	
179.189.85.41	tcp	8001	
179.189.85.41	tcp	8002	
179.189.85.41	tcp	8003	
179.189.85.41	tcp	8004	
179.189.85.41	tcp	8005	
179.189.85.41	tcp	8291	
179.189.85.41	tcp	8292	
179.189.85.41	tcp	8443	
179.189.85.41	tcp	8728	
179.189.85.41	tcp	8729	
179.189.85.42	tcp	1194	openvpn
179.189.85.42	tcp	37777	
179.189.85.42	tcp	37778	
179.189.85.42	tcp	5123	
179.189.85.42	tcp	5222	xmpp-client
179.189.85.42	tcp	5223	
179.189.85.42	tcp	5432	postgresql
179.189.85.42	tcp	8081	tproxy
179.189.85.42	tcp	8082	
179.189.85.42	tcp	8291	
179.189.85.43	tcp	113	auth
179.189.85.43	tcp	1521	
179.189.85.43	tcp	222	
179.189.85.43	tcp	37	time
179.189.85.43	tcp	465	submissions
179.189.85.43	tcp	8050	
179.189.85.43	tcp	8150	
179.189.85.45	tcp	2000	cisco-sccp
179.189.85.45	tcp	8081	tproxy
179.189.85.45	tcp	8291	
179.189.85.46	tcp	2000	cisco-sccp
179.189.85.46	tcp	22	ssh
179.189.85.46	tcp	2210	
179.189.85.46	tcp	2211	
179.189.85.46	tcp	8081	tproxy
179.189.85.46	tcp	8291	
179.189.85.49	tcp	2000	cisco-sccp
179.189.85.49	tcp	8081	tproxy
179.189.85.49	tcp	8291	
179.189.85.50	tcp	53	domain
179.189.85.50	tcp	5443	
179.189.85.57	tcp	179	bgp
179.189.85.57	tcp	2000	cisco-sccp
179.189.85.57	tcp	8081	tproxy
179.189.85.57	tcp	8291	
179.189.85.6	tcp	2000	cisco-sccp
179.189.85.6	tcp	2210	
179.189.85.6	tcp	2211	
179.189.85.6	tcp	8081	tproxy
179.189.85.61	tcp	2000	cisco-sccp
179.189.85.61	tcp	8081	tproxy
179.189.85.61	tcp	8291	
179.189.85.65	tcp	179	bgp
179.189.85.65	tcp	2000	cisco-sccp
179.189.85.65	tcp	8081	tproxy
179.189.85.65	tcp	8291	
179.189.85.66	tcp	2000	cisco-sccp
179.189.85.66	tcp	8081	tproxy
179.189.85.66	tcp	8291	
179.189.85.68	tcp	2000	cisco-sccp
179.189.85.68	tcp	2210	
179.189.85.68	tcp	2211	
179.189.85.68	tcp	8081	tproxy
179.189.85.68	tcp	8291	
179.189.85.69	tcp	2000	cisco-sccp
179.189.85.69	tcp	2210	
179.189.85.69	tcp	2211	
179.189.85.69	tcp	8081	tproxy
179.189.85.69	tcp	8291	
179.189.85.70	tcp	2000	cisco-sccp
179.189.85.70	tcp	2210	
179.189.85.70	tcp	2211	
179.189.85.70	tcp	8081	tproxy
179.189.85.70	tcp	8291	
179.189.85.71	tcp	2000	cisco-sccp
179.189.85.71	tcp	2210	
179.189.85.71	tcp	37777	
179.189.85.71	tcp	554	rtsp
179.189.85.71	tcp	8081	tproxy
179.189.85.71	tcp	8090	
179.189.85.71	tcp	8291	
179.189.85.72	tcp	2000	cisco-sccp
179.189.85.72	tcp	2210	
179.189.85.72	tcp	2211	
179.189.85.72	tcp	8081	tproxy
179.189.85.72	tcp	8291	
179.189.85.74	tcp	2000	cisco-sccp
179.189.85.74	tcp	8081	tproxy
179.189.85.74	tcp	8291	
179.189.85.76	tcp	2000	cisco-sccp
179.189.85.76	tcp	2210	
179.189.85.76	tcp	2211	
179.189.85.76	tcp	8081	tproxy
179.189.85.76	tcp	8291	
179.189.85.77	tcp	2000	cisco-sccp
179.189.85.77	tcp	22	ssh
179.189.85.77	tcp	8081	tproxy
179.189.85.77	tcp	8291	
179.189.85.79	tcp	8291	
179.189.85.80	tcp	8291	
179.189.85.81	tcp	2000	cisco-sccp
179.189.85.81	tcp	2210	
179.189.85.81	tcp	8081	tproxy
179.189.85.81	tcp	8291	
179.189.85.82	tcp	2000	cisco-sccp
179.189.85.82	tcp	2210	
179.189.85.82	tcp	2211	
179.189.85.82	tcp	8081	tproxy
179.189.85.82	tcp	8291	
179.189.85.83	tcp	2000	cisco-sccp
179.189.85.83	tcp	2210	
179.189.85.83	tcp	8081	tproxy
179.189.85.83	tcp	8291	
179.189.85.84	tcp	2000	cisco-sccp
179.189.85.84	tcp	2210	
179.189.85.84	tcp	2211	
179.189.85.84	tcp	8081	tproxy
179.189.85.84	tcp	8291	
179.189.85.85	tcp	8291	
179.189.85.86	tcp	8291	
179.189.85.89	tcp	2000	cisco-sccp
179.189.85.89	tcp	8081	tproxy
179.189.85.89	tcp	8291	
179.189.85.90	tcp	21	ftp
179.189.85.90	tcp	53	domain
179.189.85.94	tcp	2000	cisco-sccp
179.189.85.94	tcp	8081	tproxy
179.189.85.94	tcp	8291	
179.189.85.96	tcp	2000	cisco-sccp
179.189.85.96	tcp	5060	sip
179.189.85.96	tcp	8008	
179.189.85.97	tcp	2000	cisco-sccp
179.189.85.97	tcp	5060	sip
179.189.85.97	tcp	8008	
179.189.85.98	tcp	2000	cisco-sccp
179.189.85.98	tcp	3629	
179.189.85.98	tcp	53	domain
179.189.85.98	tcp	9205	
179.189.85.99	tcp	1024	
179.189.85.99	tcp	8000	
179.189.85.99	tcp	8090	
179.189.86.1	tcp	50321	
179.189.86.1	tcp	80	http
179.189.86.10	tcp	30960	
179.189.86.10	tcp	32548	
179.189.86.10	tcp	42891	
179.189.86.10	tcp	44065	
179.189.86.10	tcp	49152	
179.189.86.10	tcp	52611	
179.189.86.10	tcp	554	rtsp
179.189.86.10	tcp	56028	
179.189.86.10	tcp	9000	
179.189.86.10	tcp	9020	
179.189.86.10	tcp	9090	
179.189.86.100	tcp	80	http
179.189.86.101	tcp	2442	
179.189.86.101	tcp	443	https
179.189.86.101	tcp	80	http
179.189.86.103	tcp	22	ssh
179.189.86.103	tcp	443	https
179.189.86.103	tcp	554	rtsp
179.189.86.103	tcp	80	http
179.189.86.103	tcp	8000	
179.189.86.103	tcp	8090	
179.189.86.104	tcp	2000	cisco-sccp
179.189.86.104	tcp	2442	
179.189.86.104	tcp	8291	
179.189.86.106	tcp	1521	
179.189.86.106	tcp	2442	
179.189.86.106	tcp	2443	
179.189.86.106	tcp	80	http
179.189.86.107	tcp	80	http
179.189.86.108	tcp	37777	
179.189.86.108	tcp	554	rtsp
179.189.86.108	tcp	80	http
179.189.86.109	tcp	80	http
179.189.86.11	tcp	30960	
179.189.86.11	tcp	53000	
179.189.86.11	tcp	554	rtsp
179.189.86.11	tcp	80	http
179.189.86.11	tcp	9000	
179.189.86.11	tcp	9010	
179.189.86.11	tcp	9020	
179.189.86.11	tcp	9090	
179.189.86.112	tcp	20000	
179.189.86.112	tcp	30960	
179.189.86.112	tcp	49152	
179.189.86.112	tcp	53000	
179.189.86.112	tcp	53898	
179.189.86.112	tcp	554	rtsp
179.189.86.112	tcp	80	http
179.189.86.112	tcp	8090	
179.189.86.112	tcp	880	
179.189.86.113	tcp	30960	
179.189.86.113	tcp	49152	
179.189.86.113	tcp	554	rtsp
179.189.86.113	tcp	80	http
179.189.86.113	tcp	8000	
179.189.86.115	tcp	80	http
179.189.86.116	tcp	30960	
179.189.86.116	tcp	53000	
179.189.86.116	tcp	554	rtsp
179.189.86.116	tcp	80	http
179.189.86.116	tcp	880	
179.189.86.116	tcp	9000	
179.189.86.116	tcp	9090	
179.189.86.119	tcp	80	http
179.189.86.12	tcp	23	telnet
179.189.86.12	tcp	37777	
179.189.86.12	tcp	443	https
179.189.86.12	tcp	80	http
179.189.86.12	tcp	8090	
179.189.86.120	tcp	22	ssh
179.189.86.120	tcp	443	https
179.189.86.120	tcp	80	http
179.189.86.124	tcp	80	http
179.189.86.124	tcp	8081	tproxy
179.189.86.124	tcp	8291	
179.189.86.126	tcp	1723	
179.189.86.126	tcp	2000	cisco-sccp
179.189.86.126	tcp	3001	
179.189.86.126	tcp	30010	
179.189.86.126	tcp	44	
179.189.86.126	tcp	443	https
179.189.86.126	tcp	46	
179.189.86.126	tcp	801	
179.189.86.126	tcp	8291	
179.189.86.126	tcp	8443	
179.189.86.128	tcp	2000	cisco-sccp
179.189.86.128	tcp	3389	
179.189.86.128	tcp	34567	
179.189.86.128	tcp	34568	
179.189.86.128	tcp	8081	tproxy
179.189.86.128	tcp	8291	
179.189.86.129	tcp	1024	
179.189.86.129	tcp	1025	
179.189.86.129	tcp	22	ssh
179.189.86.129	tcp	443	https
179.189.86.129	tcp	53	domain
179.189.86.129	tcp	554	rtsp
179.189.86.129	tcp	7000	afs3-fileserver
179.189.86.129	tcp	80	http
179.189.86.129	tcp	8000	
179.189.86.129	tcp	8001	
179.189.86.129	tcp	8090	
179.189.86.129	tcp	8091	
179.189.86.13	tcp	30960	
179.189.86.13	tcp	49152	
179.189.86.13	tcp	554	rtsp
179.189.86.13	tcp	8000	
179.189.86.13	tcp	8090	
179.189.86.13	tcp	880	
179.189.86.13	tcp	9010	
179.189.86.13	tcp	9020	
179.189.86.130	tcp	554	rtsp
179.189.86.130	tcp	80	http
179.189.86.130	tcp	8000	
179.189.86.130	tcp	8090	
179.189.86.131	tcp	2000	cisco-sccp
179.189.86.131	tcp	3389	
179.189.86.131	tcp	53	domain
179.189.86.131	tcp	80	http
179.189.86.131	tcp	8291	
179.189.86.133	tcp	80	http
179.189.86.135	tcp	3380	
179.189.86.135	tcp	37575	
179.189.86.135	tcp	48180	
179.189.86.135	tcp	48281	
179.189.86.135	tcp	52734	
179.189.86.135	tcp	56325	
179.189.86.135	tcp	80	http
179.189.86.137	tcp	22	ssh
179.189.86.137	tcp	443	https
179.189.86.137	tcp	7000	afs3-fileserver
179.189.86.137	tcp	7070	
179.189.86.137	tcp	80	http
179.189.86.138	tcp	1024	
179.189.86.138	tcp	443	https
179.189.86.138	tcp	554	rtsp
179.189.86.138	tcp	7000	afs3-fileserver
179.189.86.138	tcp	80	http
179.189.86.138	tcp	8000	
179.189.86.138	tcp	8080	http-alt
179.189.86.138	tcp	8090	
179.189.86.139	tcp	10001	
179.189.86.139	tcp	22	ssh
179.189.86.139	tcp	443	https
179.189.86.139	tcp	80	http
179.189.86.14	tcp	2442	
179.189.86.14	tcp	2969	
179.189.86.14	tcp	7000	afs3-fileserver
179.189.86.140	tcp	443	https
179.189.86.140	tcp	80	http
179.189.86.142	tcp	2000	cisco-sccp
179.189.86.142	tcp	2442	
179.189.86.142	tcp	8291	
179.189.86.142	tcp	8888	
179.189.86.143	tcp	34567	
179.189.86.143	tcp	34599	
179.189.86.143	tcp	80	http
179.189.86.143	tcp	8000	
179.189.86.144	tcp	443	https
179.189.86.144	tcp	80	http
179.189.86.145	tcp	34567	
179.189.86.145	tcp	443	https
179.189.86.145	tcp	554	rtsp
179.189.86.145	tcp	80	http
179.189.86.145	tcp	8000	
179.189.86.147	tcp	443	https
179.189.86.147	tcp	80	http
179.189.86.148	tcp	80	http
179.189.86.15	tcp	1024	
179.189.86.15	tcp	443	https
179.189.86.15	tcp	7000	afs3-fileserver
179.189.86.15	tcp	80	http
179.189.86.15	tcp	8090	
179.189.86.150	tcp	2000	cisco-sccp
179.189.86.150	tcp	21	ftp
179.189.86.151	tcp	2000	cisco-sccp
179.189.86.151	tcp	8081	tproxy
179.189.86.151	tcp	8291	
179.189.86.152	tcp	1024	
179.189.86.152	tcp	2000	cisco-sccp
179.189.86.152	tcp	21	ftp
179.189.86.152	tcp	22	ssh
179.189.86.152	tcp	80	http
179.189.86.152	tcp	8000	
179.189.86.152	tcp	8080	http-alt
179.189.86.152	tcp	8291	
179.189.86.152	tcp	8728	
179.189.86.152	tcp	8729	
179.189.86.152	tcp	9000	
179.189.86.152	tcp	9090	
179.189.86.153	tcp	3050	gds-db
179.189.86.153	tcp	3268	
179.189.86.153	tcp	3269	
179.189.86.153	tcp	389	ldap
179.189.86.153	tcp	464	kpasswd
179.189.86.153	tcp	49154	
179.189.86.153	tcp	49157	
179.189.86.153	tcp	49158	
179.189.86.153	tcp	49178	
179.189.86.153	tcp	49237	
179.189.86.153	tcp	49241	
179.189.86.153	tcp	53	domain
179.189.86.153	tcp	5504	
179.189.86.153	tcp	593	
179.189.86.153	tcp	5948	
179.189.86.153	tcp	636	ldaps
179.189.86.153	tcp	80	http
179.189.86.153	tcp	88	kerberos
179.189.86.154	tcp	80	http
179.189.86.155	tcp	30960	
179.189.86.155	tcp	53000	
179.189.86.155	tcp	80	http
179.189.86.155	tcp	8000	
179.189.86.155	tcp	8001	
179.189.86.155	tcp	8002	
179.189.86.155	tcp	9010	
179.189.86.155	tcp	9020	
179.189.86.156	tcp	30960	
179.189.86.156	tcp	37744	
179.189.86.156	tcp	49152	
179.189.86.156	tcp	51212	
179.189.86.156	tcp	53000	
179.189.86.156	tcp	55859	
179.189.86.156	tcp	80	http
179.189.86.156	tcp	8000	
179.189.86.156	tcp	8090	
179.189.86.156	tcp	9010	
179.189.86.156	tcp	9020	
179.189.86.157	tcp	1900	
179.189.86.157	tcp	22	ssh
179.189.86.157	tcp	23	telnet
179.189.86.157	tcp	80	http
179.189.86.158	tcp	30615	
179.189.86.158	tcp	44892	
179.189.86.158	tcp	48354	
179.189.86.158	tcp	52701	
179.189.86.158	tcp	56479	
179.189.86.158	tcp	80	http
179.189.86.159	tcp	10001	
179.189.86.159	tcp	22	ssh
179.189.86.159	tcp	443	https
179.189.86.159	tcp	80	http
179.189.86.16	tcp	10001	
179.189.86.16	tcp	22	ssh
179.189.86.16	tcp	443	https
179.189.86.16	tcp	80	http
179.189.86.160	tcp	53000	
179.189.86.160	tcp	554	rtsp
179.189.86.160	tcp	80	http
179.189.86.160	tcp	8000	
179.189.86.160	tcp	8090	
179.189.86.160	tcp	880	
179.189.86.161	tcp	80	http
179.189.86.162	tcp	554	rtsp
179.189.86.162	tcp	7000	afs3-fileserver
179.189.86.162	tcp	80	http
179.189.86.162	tcp	9010	
179.189.86.162	tcp	9020	
179.189.86.163	tcp	80	http
179.189.86.163	tcp	8000	
179.189.86.163	tcp	8001	
179.189.86.163	tcp	8002	
179.189.86.164	tcp	30960	
179.189.86.164	tcp	49152	
179.189.86.164	tcp	554	rtsp
179.189.86.164	tcp	7681	
179.189.86.164	tcp	80	http
179.189.86.165	tcp	32221	
179.189.86.165	tcp	45018	
179.189.86.165	tcp	53892	
179.189.86.165	tcp	54658	
179.189.86.165	tcp	554	rtsp
179.189.86.165	tcp	80	http
179.189.86.165	tcp	8000	
179.189.86.165	tcp	8002	
179.189.86.166	tcp	80	http
179.189.86.167	tcp	80	http
179.189.86.168	tcp	80	http
179.189.86.169	tcp	80	http
179.189.86.17	tcp	1024	
179.189.86.17	tcp	554	rtsp
179.189.86.17	tcp	7000	afs3-fileserver
179.189.86.17	tcp	80	http
