#masscan
open tcp 3389 179.189.84.114 1574537675
open tcp 3389 179.189.87.211 1574537676
open tcp 2442 179.189.95.176 1574537677
open tcp 2442 179.189.86.248 1574537678
open tcp 445 179.189.93.213 1574537678
open tcp 2442 179.189.92.104 1574537678
open tcp 3389 179.189.86.36 1574537681
open tcp 2442 179.189.87.99 1574537681
open tcp 2442 179.189.87.245 1574537681
open tcp 3389 179.189.95.208 1574537682
open tcp 3389 179.189.95.175 1574537685
open tcp 2442 179.189.84.57 1574537686
open tcp 2442 179.189.86.184 1574537687
open tcp 2442 179.189.84.244 1574537687
open tcp 3389 179.189.86.131 1574537688
open tcp 3389 179.189.86.202 1574537688
open tcp 2442 179.189.87.106 1574537688
open tcp 2442 179.189.86.79 1574537689
open tcp 2442 179.189.86.106 1574537689
open tcp 445 179.189.84.56 1574537690
open tcp 3389 179.189.86.206 1574537690
open tcp 2442 179.189.84.249 1574537691
open tcp 2442 179.189.86.153 1574537691
open tcp 2442 179.189.95.180 1574537691
open tcp 3389 179.189.86.65 1574537692
open tcp 445 179.189.86.203 1574537692
open tcp 3389 179.189.84.156 1574537693
open tcp 2442 179.189.84.55 1574537693
open tcp 2442 179.189.86.14 1574537693
open tcp 3389 179.189.95.209 1574537694
open tcp 2442 179.189.87.201 1574537694
open tcp 2442 179.189.86.107 1574537695
open tcp 2442 179.189.84.39 1574537696
open tcp 3389 179.189.86.190 1574537696
open tcp 2442 179.189.86.237 1574537697
open tcp 2442 179.189.86.252 1574537697
open tcp 3389 179.189.93.6 1574537699
open tcp 3389 179.189.86.201 1574537699
open tcp 3389 179.189.86.42 1574537700
open tcp 2442 179.189.85.41 1574537702
open tcp 2442 179.189.84.26 1574537703
open tcp 3389 179.189.84.220 1574537703
open tcp 2442 179.189.84.129 1574537706
open tcp 3389 179.189.92.19 1574537706
open tcp 2442 179.189.86.244 1574537707
open tcp 2442 179.189.87.120 1574537707
open tcp 2442 179.189.86.28 1574537711
open tcp 3389 179.189.84.157 1574537711
open tcp 3389 179.189.86.203 1574537711
open tcp 2442 179.189.84.159 1574537711
open tcp 2442 179.189.86.142 1574537714
open tcp 3389 179.189.86.128 1574537716
open tcp 2442 179.189.87.137 1574537716
open tcp 445 179.189.86.206 1574537716
open tcp 445 179.189.86.202 1574537718
open tcp 2442 179.189.85.33 1574537719
open tcp 2442 179.189.86.32 1574537720
open tcp 3389 179.189.92.252 1574537720
open tcp 2442 179.189.95.185 1574537721
open tcp 2442 179.189.87.212 1574537721
open tcp 2442 179.189.86.101 1574537724
open tcp 2442 179.189.84.31 1574537727
open tcp 2442 179.189.84.104 1574537727
open tcp 445 179.189.95.202 1574537727
open tcp 2442 179.189.86.104 1574537729
open tcp 3389 179.189.86.228 1574537730
open tcp 2442 179.189.87.140 1574537731
open tcp 3389 179.189.85.212 1574537732
open tcp 2442 179.189.86.246 1574537732
open tcp 2442 179.189.84.152 1574537732
open tcp 2442 179.189.87.151 1574537732
open tcp 2442 179.189.95.202 1574537732
open tcp 2442 179.189.87.155 1574537733
open tcp 2442 179.189.84.135 1574537735
open tcp 2442 179.189.86.19 1574537737
open tcp 2442 179.189.87.239 1574537737
open tcp 3389 179.189.87.242 1574537737
# end
